      Site     #Data            RMS
         1       224  7.730402e-001
         2       224  6.786853e-001
         3       128  1.067799e+000
         4       248  7.298846e-001
         5       232  5.714295e-001
         6       216  5.449160e-001
         7       280  5.082794e-001
         8       128  7.547602e-001
         9       232  7.404600e-001
        10        96  5.133937e-001
        11       280  6.571883e-001
        12       264  8.558953e-001
        13       208  5.599605e-001
        14       192  7.852514e-001
        15       224  8.562033e-001
        16       184  5.830919e-001
        17       192  1.117589e+000
        18       248  1.589758e+000
        19       200  1.003628e+000
        20       104  1.180575e+000
        21       192  4.827558e-001
        22       176  1.012435e+000
        23       208  1.052411e+000
        24       232  7.523296e-001
        25       176  1.039055e+000
        26        48  9.749077e-001
        27       208  1.132133e+000
        28       200  6.400929e-001
        29       240  4.975548e-001
        30       256  5.601526e-001
        31       224  9.765717e-001
        32       176  6.266769e-001
        33       192  1.449852e+000
        34       224  1.423094e+000
        35       184  6.314206e-001
        36       280  1.220235e+000
        37       112  4.813190e-001
        38       192  1.884528e+000
        39       232  8.580339e-001
        40       104  1.028087e+000
        41       240  5.625511e-001
        42       280  7.561419e-001
        43       144  1.426473e+000
        44       216  6.078286e-001
        45       224  4.519380e-001
        46       280  7.852112e-001
        47       232  8.158311e-001
        48       280  6.005300e-001
      1001       112  6.573969e-001
      1002       116  6.004157e-001
      1003        64  5.612656e-001
      1004       124  1.078178e+000
      1005       116  8.977306e-001
      1006       108  7.520688e-001
      1007       116  5.613549e-001
      1008        96  8.453043e-001
      1009        48  8.972618e-001
      1010       140  1.397400e+000
      1011       132  7.895068e-001
      1012       104  8.068862e-001
      1013        32  1.899381e+000
      1014       116  1.093554e+000
      1015        92  7.381071e-001
      1016        88  1.055685e+000
      1017       120  1.137463e+000
      1018        88  1.233609e+000
      1019        52  2.692545e+000
      1020        96  6.845806e-001
      1021        80  1.493998e+000
      1022       108  7.176146e-001
      1023       116  8.870870e-001
      1024        88  1.112153e+000
      1025        24  1.355757e+000
      1026        96  7.990651e-001
      1027       132  7.705856e-001
      1028       128  6.952231e-001
      1029        92  1.017981e+000
      1030       112  2.230345e+000
      1031       104  1.014854e+000
      1032       116  2.283758e+000
      1033        92  5.966502e-001
      1034       140  1.419861e+000
      1035        72  1.135903e+000
      1036        96  2.112176e+000
      1037        72  2.587519e+000
      1038        52  2.785485e+000
      1039       120  8.836986e-001
      1040       140  1.452262e+000
      1041        96  1.458256e+000
      1042       108  6.261552e-001
      1043        96  4.740631e-001
      1044       116  1.617754e+000
      1045       100  1.100879e+000
      1046       100  6.493265e-001
     Total     14412  1.016198e+000
