MT,
     StaID,        Freq[Hz],     Re(Zxx)_Cal,     Im(Zxx)_Cal,     Re(Zxy)_Cal,     Im(Zxy)_Cal,     Re(Zyx)_Cal,     Im(Zyx)_Cal,     Re(Zyy)_Cal,     Im(Zyy)_Cal,     Re(Zxx)_Res,     Im(Zxx)_Res,     Re(Zxy)_Res,     Im(Zxy)_Res,     Re(Zyx)_Res,     Im(Zyx)_Res,     Re(Zyy)_Res,     Im(Zyy)_Res,     Re(Zxx)_Obs,     Im(Zxx)_Obs,     Re(Zxy)_Obs,     Im(Zxy)_Obs,     Re(Zyx)_Obs,     Im(Zyx)_Obs,     Re(Zyy)_Obs,     Im(Zyy)_Obs,      Re(Zxx)_SD,      Im(Zxx)_SD,      Re(Zxy)_SD,      Im(Zxy)_SD,      Re(Zyx)_SD,      Im(Zyx)_SD,      Re(Zyy)_SD,      Im(Zyy)_SD,
         1,    3.981000e+02,   -2.618776e-02,    1.871506e-03,    2.107348e-01,   -2.440350e-01,   -2.862175e-01,    2.640039e-01,    7.299564e-02,   -4.556466e-02,   -9.902899e-02,    1.198318e+00,   -4.193104e-01,    8.734611e-01,    2.950736e-01,   -1.580494e+00,    1.048849e+00,    6.209090e-01,   -2.771300e-02,    2.032800e-02,    2.036900e-01,   -2.293600e-01,   -2.812600e-01,    2.374500e-01,    1.043300e-01,   -2.701500e-02,    1.540200e-02,    1.540200e-02,    1.680100e-02,    1.680100e-02,    1.680100e-02,    1.680100e-02,    2.987500e-02,    2.987500e-02,
         1,    6.309500e+02,   -2.505339e-02,    1.479902e-03,    2.698952e-01,   -3.144087e-01,   -3.484049e-01,    3.324695e-01,    8.156988e-02,   -5.932837e-02,   -4.531563e-01,    1.050129e+00,   -1.167595e-01,    8.001245e-01,    1.364000e-01,   -1.571339e+00,    6.344806e-01,    1.055042e+00,   -3.363300e-02,    2.136200e-02,    2.674000e-01,   -2.973100e-01,   -3.454900e-01,    2.988900e-01,    1.024500e-01,   -2.460800e-02,    1.893300e-02,    1.893300e-02,    2.137000e-02,    2.137000e-02,    2.137000e-02,    2.137000e-02,    3.290900e-02,    3.290900e-02,
         1,    1.000000e+03,   -2.366000e-02,    2.831536e-03,    3.434406e-01,   -4.055604e-01,   -4.214920e-01,    4.255765e-01,    9.385566e-02,   -7.915944e-02,   -6.273406e-01,    1.067070e+00,    3.632883e-01,    1.115874e+00,   -9.551259e-01,   -1.944592e+00,    2.083826e-01,    1.266448e+00,   -3.836800e-02,    2.784900e-02,    3.533900e-01,   -3.750000e-01,   -4.476500e-01,    3.723200e-01,    1.016400e-01,   -3.185000e-02,    2.344500e-02,    2.344500e-02,    2.738700e-02,    2.738700e-02,    2.738700e-02,    2.738700e-02,    3.735600e-02,    3.735600e-02,
         2,    3.981000e+02,    6.095132e-04,    1.363557e-02,    2.757196e-01,   -3.074203e-01,   -2.472760e-01,    2.935718e-01,   -1.751954e-02,    6.085683e-03,   -3.926432e-01,   -3.182379e-01,   -1.642428e+00,    1.324804e+00,    1.990827e+00,   -8.547504e-01,   -6.058316e-01,   -1.192860e+00,   -3.180200e-03,    1.056400e-02,    2.459900e-01,   -2.834400e-01,   -2.112400e-01,    2.781000e-01,   -2.671000e-02,   -1.201000e-02,    9.651800e-03,    9.651800e-03,    1.810100e-02,    1.810100e-02,    1.810100e-02,    1.810100e-02,    1.517000e-02,    1.517000e-02,
         2,    6.309500e+02,   -5.806934e-03,    1.755600e-02,    3.487852e-01,   -3.982036e-01,   -3.153481e-01,    3.800615e-01,   -1.426359e-02,    1.029059e-02,   -2.178600e-01,   -1.618520e-01,   -1.686560e+00,    7.587540e-01,    1.713478e+00,   -1.331933e-01,   -5.058267e-01,   -1.814229e+00,   -8.846300e-03,    1.529800e-02,    3.085000e-01,   -3.800800e-01,   -2.744200e-01,    3.768800e-01,   -2.376200e-02,   -2.377700e-02,    1.395100e-02,    1.395100e-02,    2.388600e-02,    2.388600e-02,    2.388600e-02,    2.388600e-02,    1.877800e-02,    1.877800e-02,
         2,    1.000000e+03,   -1.136845e-02,    2.011398e-02,    4.405840e-01,   -5.158418e-01,   -4.013248e-01,    4.950528e-01,   -1.246365e-02,    1.954225e-02,   -7.624325e-01,    8.521343e-01,   -1.299646e+00,    1.695327e-01,    9.854238e-01,    5.255376e-01,   -2.842532e-01,   -2.339971e+00,   -3.300400e-02,    4.429500e-02,    3.990200e-01,   -5.104200e-01,   -3.698100e-01,    5.118600e-01,   -1.948300e-02,   -3.824100e-02,    2.837700e-02,    2.837700e-02,    3.198100e-02,    3.198100e-02,    3.198100e-02,    3.198100e-02,    2.469400e-02,    2.469400e-02,
         3,    3.981000e+02,    2.459205e-02,   -1.206534e-02,    2.670452e-01,   -2.823585e-01,   -2.346424e-01,    2.769580e-01,   -4.370414e-02,    3.399982e-02,    3.377474e-01,   -1.413272e+00,   -1.044529e+00,    1.270144e+00,    1.123868e+00,   -4.092869e-01,   -1.295631e+00,   -9.955960e-01,    3.150000e-02,   -4.097100e-02,    2.486500e-01,   -2.599900e-01,   -2.148500e-01,    2.697500e-01,   -7.511800e-02,    9.860600e-03,    2.045300e-02,    2.045300e-02,    1.761100e-02,    1.761100e-02,    1.761100e-02,    1.761100e-02,    2.424600e-02,    2.424600e-02,
         3,    6.309500e+02,    2.509065e-02,   -1.519009e-02,    3.333746e-01,   -3.656193e-01,   -3.004563e-01,    3.562437e-01,   -5.057339e-02,    4.513015e-02,    7.106464e-01,   -1.217329e+00,   -1.448808e+00,    1.404944e+00,    6.484596e-01,   -4.480134e-01,   -8.737076e-01,   -1.459422e+00,    4.301600e-02,   -4.589600e-02,    3.008300e-01,   -3.340600e-01,   -2.858900e-01,    3.461800e-01,   -7.458200e-02,    5.026700e-03,    2.522400e-02,    2.522400e-02,    2.246300e-02,    2.246300e-02,    2.246300e-02,    2.246300e-02,    2.747900e-02,    2.747900e-02,
         3,    1.000000e+03,    2.723130e-02,   -2.142082e-02,    4.180875e-01,   -4.744261e-01,   -3.824483e-01,    4.606152e-01,   -6.123451e-02,    6.015026e-02,    8.253879e-01,   -5.085788e-01,   -1.770241e+00,    1.212174e+00,   -7.466876e-02,   -3.866311e-01,   -2.980587e-01,   -1.916216e+00,    5.053200e-02,   -3.577800e-02,    3.666000e-01,   -4.391700e-01,   -3.846200e-01,    4.493700e-01,   -7.035600e-02,    1.508300e-03,    2.823000e-02,    2.823000e-02,    2.908500e-02,    2.908500e-02,    2.908500e-02,    2.908500e-02,    3.060300e-02,    3.060300e-02,
         4,    3.981000e+02,   -3.245261e-02,    2.429267e-02,    3.531786e-01,   -5.096248e-01,   -4.202292e-01,    5.495144e-01,    5.590887e-02,   -7.207682e-02,   -6.599832e-02,    1.371946e+00,   -1.255966e+00,    3.621561e-01,    1.432902e-01,    6.944070e-01,    6.881763e-01,   -4.145338e-01,   -3.454700e-02,    6.783000e-02,    3.126900e-01,   -4.979500e-01,   -4.156100e-01,    5.719000e-01,    8.663800e-02,   -9.058700e-02,    3.173400e-02,    3.173400e-02,    3.223700e-02,    3.223700e-02,    3.223700e-02,    3.223700e-02,    4.465300e-02,    4.465300e-02,
