Site,Frequency,ReZxxCal,ImZxxCal,ReZxyCal,ImZxyCal,ReZyxCal,ImZyxCal,ReZyyCal,ImZyyCal,ReZxxObs,ImZxxObs,ReZxyObs,ImZxyObs,ReZyxObs,ImZyxObs,ReZyyObs,ImZyyObs,ReZxxErr,ImZxxErr,ReZxyErr,ImZxyErr,ReZyxErr,ImZyxErr,ReZyyErr,ImZyyErr,
1,1.000000e+000,-1.586700e-002,4.972520e-003,1.537801e-002,-1.045872e-002,-4.491283e-002,2.175888e-002,1.439484e-002,-5.943840e-003,-1.846400e-002,6.059800e-003,1.426200e-002,-9.520900e-003,-4.604100e-002,1.850200e-002,1.646600e-002,-5.237300e-003,2.738200e-003,2.738200e-003,1.458500e-003,1.458500e-003,1.458500e-003,1.458500e-003,4.392100e-003,4.392100e-003,
1,1.584800e+000,-1.775038e-002,4.170481e-003,1.809918e-002,-1.388842e-002,-5.141271e-002,2.351003e-002,1.610442e-002,-7.099705e-003,-2.043500e-002,4.593300e-003,1.801800e-002,-1.377600e-002,-5.066500e-002,2.177000e-002,1.817300e-002,-7.890400e-003,3.269400e-003,3.269400e-003,1.768300e-003,1.768300e-003,1.768300e-003,1.768300e-003,4.958000e-003,4.958000e-003,
1,2.511800e+000,-1.933806e-002,2.684423e-003,2.224651e-002,-1.802260e-002,-5.851918e-002,2.513693e-002,1.825831e-002,-8.319239e-003,-2.108100e-002,2.683300e-003,2.164600e-002,-1.857100e-002,-5.735500e-002,2.482100e-002,2.001800e-002,-1.053900e-002,3.692900e-003,3.692900e-003,2.110900e-003,2.110900e-003,2.110900e-003,2.110900e-003,5.640200e-003,5.640200e-003,
1,3.981000e+000,-1.998788e-002,5.542298e-004,2.805239e-002,-2.236292e-002,-6.560693e-002,2.645972e-002,2.068320e-002,-9.564592e-003,-2.145000e-002,-1.022300e-004,2.717400e-002,-2.266300e-002,-6.593200e-002,2.754400e-002,2.282800e-002,-1.380900e-002,4.132500e-003,4.132500e-003,2.514100e-003,2.514100e-003,2.514100e-003,2.514100e-003,6.549300e-003,6.549300e-003,
1,6.309500e+000,-1.974086e-002,-1.614047e-003,3.503667e-002,-2.658726e-002,-7.191679e-002,2.814621e-002,2.469154e-002,-1.121050e-002,-2.072500e-002,-2.746700e-003,3.396600e-002,-2.634300e-002,-7.406400e-002,2.933700e-002,2.817000e-002,-1.649000e-002,4.496500e-003,4.496500e-003,2.925800e-003,2.925800e-003,2.925800e-003,2.925800e-003,7.648900e-003,7.648900e-003,
1,6.309500e+000,-1.912870e-002,-1.502989e-003,3.521559e-002,-2.632516e-002,-7.174419e-002,2.826768e-002,2.332003e-002,-1.099691e-002,-2.072500e-002,-2.746700e-003,3.396600e-002,-2.634300e-002,-7.406400e-002,2.933700e-002,2.817000e-002,-1.649000e-002,4.496500e-003,4.496500e-003,2.925800e-003,2.925800e-003,2.925800e-003,2.925800e-003,7.648900e-003,7.648900e-003,
1,1.000000e+001,-1.753820e-002,-2.631516e-003,4.258610e-002,-3.015465e-002,-7.695403e-002,3.226170e-002,2.749459e-002,-1.302821e-002,-1.826100e-002,-4.571400e-003,3.977400e-002,-2.958000e-002,-7.807900e-002,3.049100e-002,3.285700e-002,-1.928600e-002,4.582000e-003,4.582000e-003,3.222900e-003,3.222900e-003,3.222900e-003,3.222900e-003,8.476700e-003,8.476700e-003,
1,1.000000e+001,-1.696608e-002,-2.291096e-003,4.266373e-002,-2.984165e-002,-7.676889e-002,3.255389e-002,2.611189e-002,-1.272388e-002,-1.826100e-002,-4.571400e-003,3.977400e-002,-2.958000e-002,-7.807900e-002,3.049100e-002,3.285700e-002,-1.928600e-002,4.582000e-003,4.582000e-003,3.222900e-003,3.222900e-003,3.222900e-003,3.222900e-003,8.476700e-003,8.476700e-003,
1,1.584800e+001,-1.515112e-002,-1.665689e-003,4.923123e-002,-3.479896e-002,-8.226204e-002,4.092216e-002,3.051795e-002,-1.567288e-002,-1.451900e-002,-4.467000e-003,4.651100e-002,-3.475800e-002,-8.176200e-002,3.819100e-002,3.875200e-002,-2.228300e-002,4.454800e-003,4.454800e-003,3.619300e-003,3.619300e-003,3.619300e-003,3.619300e-003,9.527100e-003,9.527100e-003,
1,1.584800e+001,-1.475303e-002,-1.012445e-003,4.919143e-002,-3.436326e-002,-8.236019e-002,4.151435e-002,2.885385e-002,-1.521949e-002,-1.451900e-002,-4.467000e-003,4.651100e-002,-3.475800e-002,-8.176200e-002,3.819100e-002,3.875200e-002,-2.228300e-002,4.454800e-003,4.454800e-003,3.619300e-003,3.619300e-003,3.619300e-003,3.619300e-003,9.527100e-003,9.527100e-003,
