      Site      Frequency      AppRxxCal       PhsxxCal      AppRxyCal       PhsxyCal      AppRyxCal       PhsyxCal      AppRyyCal       PhsyyCal      AppRxxObs       PhsxxObs      AppRxyObs       PhsxyObs      AppRyxObs       PhsyxObs      AppRyyObs       PhsyyObs      AppRxxErr       PhsxxErr      AppRxyErr       PhsxyErr      AppRyxErr       PhsyxErr      AppRyyErr       PhsyyErr
         1  1.000000e+000  3.501757e+001  1.625997e+002  4.380470e+001 -3.421996e+001  3.154396e+002  1.541512e+002  3.071813e+001 -2.243645e+001  4.782872e+001  1.618304e+002  3.724214e+001 -3.372593e+001  3.118283e+002  1.581068e+002  3.781287e+001 -1.764418e+001  1.347860e+001  8.100209e+000  6.335179e+000  4.879124e+000  1.833156e+001  1.684376e+000  1.922327e+001  1.472556e+001
         1  1.584800e+000  2.656971e+001  1.667781e+002  4.159396e+001 -3.750086e+001  2.554118e+002  1.554263e+002  2.475475e+001 -2.379050e+001  3.505833e+001  1.673318e+002  4.111110e+001 -3.740040e+001  2.430157e+002  1.567475e+002  3.136849e+001 -2.346965e+001  1.094489e+001  8.980337e+000  6.410375e+000  4.471548e+000  1.558551e+001  1.837612e+000  1.570006e+001  1.449243e+001
         1  2.511800e+000  1.921941e+001  1.720970e+002  4.133248e+001 -3.901202e+001  2.045322e+002  1.567540e+002  2.029891e+001 -2.449597e+001  2.277128e+001  1.727461e+002  4.101532e+001 -4.062766e+001  1.969344e+002  1.565989e+002  2.580582e+001 -2.776574e+001  7.914143e+000  1.000736e+001  6.071323e+000  4.244506e+000  1.330366e+001  1.935640e+000  1.286755e+001  1.443698e+001
         1  3.981000e+000  1.271995e+001  1.784117e+002  4.094577e+001 -3.856130e+001  1.592095e+002  1.580354e+002  1.652025e+001 -2.481737e+001  1.463803e+001 -1.797269e+002  3.983231e+001 -3.982796e+001  1.624327e+002  1.573266e+002  2.264539e+001 -3.117037e+001  5.640183e+000  1.110778e+001  5.660299e+000  4.074389e+000  1.143032e+001  2.016356e+000  1.111793e+001  1.421013e+001
         1  6.309500e+000  7.874828e+000 -1.753258e+002  3.883050e+001 -3.719272e+001  1.197209e+002  1.586260e+002  1.476073e+001 -2.441909e+001  8.773367e+000 -1.724505e+002  3.708799e+001 -3.779607e+001  1.273869e+002  1.583913e+002  2.138731e+001 -3.034362e+001  3.773944e+000  1.242019e+001  5.048925e+000  3.902961e+000  9.357172e+000  2.104797e+000  1.002339e+001  1.355215e+001
         1  6.309500e+000  7.390251e+000 -1.755074e+002  3.880443e+001 -3.677969e+001  1.193607e+002  1.584952e+002  1.334374e+001 -2.524692e+001  8.773367e+000 -1.724505e+002  3.708799e+001 -3.779607e+001  1.273869e+002  1.583913e+002  2.138731e+001 -3.034362e+001  3.773944e+000  1.242019e+001  5.048925e+000  3.902961e+000  9.357172e+000  2.104797e+000  1.002339e+001  1.355215e+001
         1  1.000000e+001  3.983358e+000 -1.714667e+002  3.448566e+001 -3.530180e+001  8.818413e+001  1.572549e+002  1.172396e+001 -2.535376e+001  4.488045e+000 -1.659456e+002  3.111760e+001 -3.663825e+001  8.898573e+001  1.586686e+002  1.838387e+001 -3.041156e+001  2.184836e+000  1.408766e+001  4.046551e+000  3.728018e+000  6.842931e+000  2.203543e+000  8.180511e+000  1.285541e+001
         1  1.000000e+001  3.712117e+000 -1.723093e+002  3.433164e+001 -3.497132e+001  8.806354e+001  1.570206e+002  1.068594e+001 -2.597919e+001  4.488045e+000 -1.659456e+002  3.111760e+001 -3.663825e+001  8.898573e+001  1.586686e+002  1.838387e+001 -3.041156e+001  2.184836e+000  1.408766e+001  4.046551e+000  3.728018e+000  6.842931e+000  2.203543e+000  8.180511e+000  1.285541e+001
         1  1.584800e+001  1.856705e+000 -1.737262e+002  2.904706e+001 -3.525448e+001  6.746274e+001  1.535514e+002  9.406034e+000 -2.718334e+001  1.844114e+000 -1.628987e+002  2.694294e+001 -3.677102e+001  6.508052e+001  1.549627e+002  1.596929e+001 -2.989957e+001  1.081608e+000  1.705320e+001  3.358884e+000  3.573751e+000  5.220330e+000  2.298561e+000  6.806932e+000  1.230559e+001
         1  1.584800e+001  1.747587e+000 -1.760742e+002  2.877494e+001 -3.493668e+001  6.798200e+001  1.532492e+002  8.504522e+000 -2.781022e+001  1.844114e+000 -1.628987e+002  2.694294e+001 -3.677102e+001  6.508052e+001  1.549627e+002  1.596929e+001 -2.989957e+001  1.081608e+000  1.705320e+001  3.358884e+000  3.573751e+000  5.220330e+000  2.298561e+000  6.806932e+000  1.230559e+001
         1  2.511800e+001  9.950309e-001  1.758674e+002  2.496912e+001 -3.785605e+001  5.680932e+001  1.487002e+002  7.864021e+000 -2.994117e+001  5.717153e-001 -1.680379e+002  2.558949e+001 -3.881066e+001  5.706110e+001  1.474825e+002  1.371933e+001 -2.901556e+001  4.436283e-001  2.282887e+001  3.127031e+000  3.502948e+000  4.669511e+000  2.345012e+000  5.877839e+000  1.236962e+001
         1  2.511800e+001  1.021411e+000  1.723643e+002  2.452931e+001 -3.771750e+001  5.781318e+001  1.487020e+002  7.070550e+000 -3.128028e+001  5.717153e-001 -1.680379e+002  2.558949e+001 -3.881066e+001  5.706110e+001  1.474825e+002  1.371933e+001 -2.901556e+001  4.436283e-001  2.282887e+001  3.127031e+000  3.502948e+000  4.669511e+000  2.345012e+000  5.877839e+000  1.236962e+001
         1  3.981000e+001  8.649816e-001  1.630973e+002  2.299084e+001 -4.203727e+001  5.283845e+001  1.452427e+002  6.448750e+000 -3.483004e+001  2.858244e-001  1.711864e+002  2.180428e+001 -4.114862e+001  4.922674e+001  1.453827e+002  1.050512e+001 -2.909373e+001  2.534162e-001  2.631511e+001  2.672762e+000  3.513853e+000  4.015966e+000  2.337772e+000  4.636896e+000  1.274997e+001
         1  3.981000e+001  7.729241e-001  1.645782e+002  2.339713e+001 -4.175547e+001  5.218746e+001  1.447613e+002  7.031237e+000 -3.249908e+001  2.858244e-001  1.711864e+002  2.180428e+001 -4.114862e+001  4.922674e+001  1.453827e+002  1.050512e+001 -2.909373e+001  2.534162e-001  2.631511e+001  2.672762e+000  3.513853e+000  4.015966e+000  2.337772e+000  4.636896e+000  1.274997e+001
         1  6.309500e+001  7.138084e-001  1.608156e+002  2.367162e+001 -4.492068e+001  4.953913e+001  1.422057e+002  6.512322e+000 -3.341482e+001  3.091409e-001  1.519180e+002  2.191958e+001 -4.383293e+001  4.807791e+001  1.440156e+002  9.337686e+000 -2.745809e+001  2.691252e-001  2.580306e+001  2.667525e+000  3.488488e+000  3.950619e+000  2.354694e+000  4.219763e+000  1.305895e+001
         1  6.309500e+001  7.907855e-001  1.620783e+002  2.360398e+001 -4.544619e+001  4.927558e+001  1.428813e+002  6.201203e+000 -3.637734e+001  3.091409e-001  1.519180e+002  2.191958e+001 -4.383293e+001  4.807791e+001  1.440156e+002  9.337686e+000 -2.745809e+001  2.691252e-001  2.580306e+001  2.667525e+000  3.488488e+000  3.950619e+000  2.354694e+000  4.219763e+000  1.305895e+001
         1  1.000000e+002  6.169040e-001  1.626380e+002  2.468481e+001 -4.689005e+001  4.757747e+001  1.403790e+002  5.879471e+000 -3.298180e+001  4.390658e-001  1.426187e+002  2.480560e+001 -4.617658e+001  5.070905e+001  1.433615e+002  9.034015e+000 -2.480177e+001  3.611306e-001  2.428331e+001  2.966094e+000  3.427575e+000  4.240849e+000  2.396551e+000  4.171672e+000  1.334929e+001
         1  1.000000e+002  6.404567e-001  1.654010e+002  2.498790e+001 -4.717721e+001  4.646043e+001  1.408089e+002  5.816375e+000 -3.625164e+001  4.390658e-001  1.426187e+002  2.480560e+001 -4.617658e+001  5.070905e+001  1.433615e+002  9.034015e+000 -2.480177e+001  3.611306e-001  2.428331e+001  2.966094e+000  3.427575e+000  4.240849e+000  2.396551e+000  4.171672e+000  1.334929e+001
         1  1.584800e+002  4.771737e-001  1.664467e+002  2.597530e+001 -4.802274e+001  4.624799e+001  1.390935e+002  5.086083e+000 -3.265145e+001  5.137977e-001  1.391404e+002  2.768190e+001 -4.757390e+001  5.035076e+001  1.425124e+002  7.376330e+000 -2.191470e+001  4.175897e-001  2.397736e+001  3.214778e+000  3.328834e+000  4.335669e+000  2.467612e+000  3.576944e+000  1.403183e+001
         1  1.584800e+002  4.554282e-001  1.691726e+002  2.633196e+001 -4.785915e+001  4.475356e+001  1.389495e+002  5.226940e+000 -3.623165e+001  5.137977e-001  1.391404e+002  2.768190e+001 -4.757390e+001  5.035076e+001  1.425124e+002  7.376330e+000 -2.191470e+001  4.175897e-001  2.397736e+001  3.214778e+000  3.328834e+000  4.335669e+000  2.467612e+000  3.576944e+000  1.403183e+001
         1  2.511800e+002  3.351433e-001  1.704456e+002  2.732841e+001 -4.857123e+001  4.504885e+001  1.383266e+002  4.316063e+000 -3.346421e+001  4.567429e-001  1.389203e+002  2.874125e+001 -4.815281e+001  4.583035e+001  1.411734e+002  5.093080e+000 -1.747744e+001  3.859178e-001  2.499046e+001  3.229637e+000  3.220842e+000  4.078284e+000  2.550118e+000  2.646304e+000  1.505784e+001
         1  2.511800e+002  2.973557e-001  1.713778e+002  2.744771e+001 -4.812796e+001  4.378063e+001  1.374899e+002  4.658760e+000 -3.729789e+001  4.567429e-001  1.389203e+002  2.874125e+001 -4.815281e+001  4.583035e+001  1.411734e+002  5.093080e+000 -1.747744e+001  3.859178e-001  2.499046e+001  3.229637e+000  3.220842e+000  4.078284e+000  2.550118e+000  2.646304e+000  1.505784e+001
         1  3.981000e+002  1.868301e-001  1.712388e+002  2.837500e+001 -4.833652e+001  4.303378e+001  1.362575e+002  4.252746e+000 -3.925502e+001  3.757989e-001  1.437393e+002  2.993557e+001 -4.839236e+001  4.310467e+001  1.398277e+002  3.695054e+000 -1.451721e+001  3.368169e-001  2.662406e+001  3.279200e+000  3.139716e+000  3.934924e+000  2.616107e+000  2.048601e+000  1.609367e+001
