Site,Frequency,ReTzxCal,ImTzxCal,ReTzyCal,ImTzyCal,ReTzxObs,ImTzxObs,ReTzyObs,ImTzyObs,ReTzxErr,ImTzxErr,ReTzyErr,ImTzyErr,
1001,1.000000e+000,1.604214e-001,-2.631036e-002,7.032947e-002,1.049656e-002,1.704200e-001,3.008000e-002,8.435000e-002,8.951300e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1001,1.584800e+000,1.673521e-001,-4.074260e-004,6.642544e-002,5.407557e-003,1.386600e-001,5.439300e-002,-2.784000e-003,3.331300e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1001,2.511800e+000,1.631589e-001,2.877469e-002,6.317044e-002,-1.261052e-003,1.755800e-001,6.981500e-002,2.168800e-002,-7.531100e-004,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1001,3.981000e+000,1.438040e-001,5.673758e-002,6.183879e-002,-1.239591e-002,1.543000e-001,7.908900e-002,4.492300e-002,-2.345200e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1001,6.309500e+000,1.076448e-001,7.390153e-002,7.484261e-002,-3.011441e-002,1.185400e-001,7.809900e-002,6.334800e-002,-3.826900e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1001,6.309500e+000,1.099024e-001,7.404235e-002,6.938524e-002,-2.805005e-002,1.185400e-001,7.809900e-002,6.334800e-002,-3.826900e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1001,1.000000e+001,6.787123e-002,7.212524e-002,9.583327e-002,-3.608297e-002,8.746200e-002,6.801700e-002,8.076400e-002,-3.425700e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1001,1.000000e+001,7.047378e-002,7.327103e-002,9.043635e-002,-3.770901e-002,8.746200e-002,6.801700e-002,8.076400e-002,-3.425700e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1001,1.584800e+001,3.750915e-002,5.395129e-002,1.156472e-001,-3.037498e-002,6.311700e-002,4.480300e-002,1.010100e-001,-2.974000e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1001,1.584800e+001,3.547221e-002,5.038822e-002,1.181966e-001,-2.760553e-002,6.311700e-002,4.480300e-002,1.010100e-001,-2.974000e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1001,2.511800e+001,2.346974e-002,2.324239e-002,1.308930e-001,-7.752732e-003,4.949600e-002,1.787700e-002,1.160100e-001,-1.342300e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1001,2.511800e+001,2.464095e-002,1.812729e-002,1.320781e-001,-6.404142e-003,4.949600e-002,1.787700e-002,1.160100e-001,-1.342300e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1001,3.981000e+001,3.174649e-002,-6.693594e-004,1.287997e-001,1.977567e-002,5.455900e-002,1.147000e-002,1.166800e-001,-1.346600e-004,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1001,3.981000e+001,3.616727e-002,-4.116290e-003,1.305466e-001,2.053977e-002,5.455900e-002,1.147000e-002,1.166800e-001,-1.346600e-004,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1001,6.309500e+001,5.203111e-002,-6.068788e-003,1.133470e-001,4.218532e-002,6.024400e-002,1.044700e-002,1.142800e-001,1.145500e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1001,6.309500e+001,4.696451e-002,-5.371075e-003,1.116393e-001,4.072325e-002,6.024400e-002,1.044700e-002,1.142800e-001,1.145500e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1001,1.000000e+002,5.802129e-002,3.021778e-003,8.934157e-002,5.173376e-002,6.812100e-002,9.886800e-003,1.091500e-001,2.841500e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1001,1.000000e+002,5.370679e-002,2.021161e-003,8.838164e-002,5.007321e-002,6.812100e-002,9.886800e-003,1.091500e-001,2.841500e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1001,1.584800e+002,5.104551e-002,9.607434e-003,6.669254e-002,5.035449e-002,7.279100e-002,1.529000e-002,9.307600e-002,4.534300e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1001,1.584800e+002,5.424717e-002,1.159775e-002,6.743803e-002,5.199564e-002,7.279100e-002,1.529000e-002,9.307600e-002,4.534300e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1001,2.511800e+002,4.463568e-002,1.287766e-002,4.887746e-002,4.668776e-002,6.498000e-002,3.022600e-002,5.983900e-002,5.130800e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1001,2.511800e+002,4.642897e-002,1.510775e-002,4.942460e-002,4.908063e-002,6.498000e-002,3.022600e-002,5.983900e-002,5.130800e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1001,3.981000e+002,3.922728e-002,1.437977e-002,3.300018e-002,4.470556e-002,5.349000e-002,3.394800e-002,3.483700e-002,5.548300e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1001,3.981000e+002,3.845890e-002,1.272594e-002,3.369021e-002,4.130176e-002,5.349000e-002,3.394800e-002,3.483700e-002,5.548300e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1001,6.309500e+002,3.395145e-002,1.206512e-002,1.855711e-002,3.771055e-002,3.493800e-002,2.802200e-002,1.278800e-002,4.566400e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1001,6.309500e+002,3.346397e-002,1.107214e-002,2.123954e-002,3.435459e-002,3.493800e-002,2.802200e-002,1.278800e-002,4.566400e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1001,1.000000e+003,2.971476e-002,9.190898e-003,7.958277e-003,2.901269e-002,1.642400e-002,4.797000e-003,-6.888900e-005,1.701800e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1001,1.000000e+003,2.911342e-002,8.487247e-003,1.192671e-002,2.684995e-002,1.642400e-002,4.797000e-003,-6.888900e-005,1.701800e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1002,6.309500e-001,1.707534e-001,-6.565155e-002,1.157700e-003,5.220988e-002,1.960400e-001,-8.343800e-002,-4.351900e-002,6.042100e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1002,1.000000e+000,1.913571e-001,-4.045356e-002,-1.540294e-002,5.655959e-002,2.111400e-001,-4.063400e-002,-4.821700e-002,6.631200e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1002,1.584800e+000,2.022537e-001,-1.023371e-002,-3.501958e-002,6.054550e-002,2.166100e-001,-3.859900e-003,-6.732400e-002,5.663800e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1002,2.511800e+000,1.991202e-001,2.342253e-002,-5.879502e-002,6.085359e-002,2.120500e-001,2.732000e-002,-8.044800e-002,4.408200e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1002,3.981000e+000,1.776960e-001,5.374736e-002,-8.281528e-002,5.201127e-002,1.877700e-001,5.234100e-002,-8.888600e-002,3.542500e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
1002,6.309500e+000,1.406083e-001,6.905916e-002,-9.639241e-002,3.504303e-002,1.572300e-001,6.445100e-002,-9.606100e-002,3.158400e-002,3.000000e-002,3.000000e-002,3.000000e-002,3.000000e-002,
